"Date","Site","EpisodeCase","SpecCollectedCase","FirstConfirmed"
2020-10-09,"MMSD-P11",21,33,22
2020-10-09,"MMSD-P18",22,29,39
2020-10-09,"MMSD-P2",17,17,34
2020-10-09,"MMSD-P7",12,10,19
2020-10-09,"MMSD-P8",8,11,14
2020-10-10,"MMSD-P11",13,12,26
2020-10-10,"MMSD-P18",25,16,41
2020-10-10,"MMSD-P2",10,7,22
2020-10-10,"MMSD-P7",15,12,15
2020-10-10,"MMSD-P8",9,12,13
2020-10-11,"MMSD-P11",25,11,31
2020-10-11,"MMSD-P18",30,12,33
2020-10-11,"MMSD-P2",15,2,23
2020-10-11,"MMSD-P7",19,5,14
2020-10-11,"MMSD-P8",7,3,9
2020-10-12,"MMSD-P11",20,11,12
2020-10-12,"MMSD-P18",35,30,21
2020-10-12,"MMSD-P2",30,37,6
2020-10-12,"MMSD-P7",19,10,14
2020-10-12,"MMSD-P8",16,16,11
2020-10-13,"MMSD-P11",32,36,10
2020-10-13,"MMSD-P18",49,49,29
2020-10-13,"MMSD-P2",23,30,31
2020-10-13,"MMSD-P7",22,31,9
2020-10-13,"MMSD-P8",17,15,13
2020-10-14,"MMSD-P11",18,21,31
2020-10-14,"MMSD-P18",36,39,32
2020-10-14,"MMSD-P2",24,31,28
2020-10-14,"MMSD-P7",20,32,23
2020-10-14,"MMSD-P8",16,19,10
2020-10-15,"MMSD-P11",32,40,29
2020-10-15,"MMSD-P18",49,61,45
2020-10-15,"MMSD-P2",23,39,27
2020-10-15,"MMSD-P7",23,31,30
2020-10-15,"MMSD-P8",14,13,18
2020-10-16,"MMSD-P11",28,26,23
2020-10-16,"MMSD-P18",49,53,51
2020-10-16,"MMSD-P2",23,21,22
2020-10-16,"MMSD-P7",21,26,29
2020-10-16,"MMSD-P8",17,10,14
2020-10-17,"MMSD-P11",21,30,NA
2020-10-17,"MMSD-P18",43,34,NA
2020-10-17,"MMSD-P2",17,9,NA
2020-10-17,"MMSD-P7",16,16,NA
2020-10-17,"MMSD-P8",8,9,NA
2020-10-18,"MMSD-P11",12,4,1
2020-10-18,"MMSD-P18",24,7,NA
2020-10-18,"MMSD-P2",18,4,NA
2020-10-18,"MMSD-P7",20,4,NA
2020-10-18,"MMSD-P8",18,11,NA
2020-10-19,"MMSD-P11",36,20,49
2020-10-19,"MMSD-P18",48,39,54
2020-10-19,"MMSD-P2",35,30,45
2020-10-19,"MMSD-P7",9,14,34
2020-10-19,"MMSD-P8",15,9,20
2020-10-20,"MMSD-P11",36,37,41
2020-10-20,"MMSD-P18",79,92,74
2020-10-20,"MMSD-P2",43,43,32
2020-10-20,"MMSD-P7",24,29,31
2020-10-20,"MMSD-P8",28,34,17
2020-10-21,"MMSD-P11",50,27,14
2020-10-21,"MMSD-P18",65,61,47
2020-10-21,"MMSD-P2",25,40,37
2020-10-21,"MMSD-P7",32,23,13
2020-10-21,"MMSD-P8",19,16,15
2020-10-22,"MMSD-P11",41,53,24
2020-10-22,"MMSD-P18",50,58,67
2020-10-22,"MMSD-P2",24,32,22
2020-10-22,"MMSD-P7",34,33,25
2020-10-22,"MMSD-P8",32,30,24
2020-10-23,"MMSD-P11",48,41,36
2020-10-23,"MMSD-P18",58,64,67
2020-10-23,"MMSD-P2",33,25,30
2020-10-23,"MMSD-P7",18,26,20
2020-10-23,"MMSD-P8",25,27,23
2020-10-24,"MMSD-P11",58,46,45
2020-10-24,"MMSD-P18",56,53,55
2020-10-24,"MMSD-P2",25,19,38
2020-10-24,"MMSD-P7",12,16,28
2020-10-24,"MMSD-P8",42,31,28
2020-10-25,"MMSD-P11",20,17,25
2020-10-25,"MMSD-P18",35,15,45
2020-10-25,"MMSD-P2",31,5,21
2020-10-25,"MMSD-P7",10,6,10
2020-10-25,"MMSD-P8",15,11,17
2020-10-26,"MMSD-P11",59,54,54
2020-10-26,"MMSD-P18",66,48,50
2020-10-26,"MMSD-P2",59,48,20
2020-10-26,"MMSD-P7",14,13,22
2020-10-26,"MMSD-P8",27,27,31
2020-10-27,"MMSD-P11",84,87,73
2020-10-27,"MMSD-P18",76,84,73
2020-10-27,"MMSD-P2",65,64,48
2020-10-27,"MMSD-P7",43,44,28
2020-10-27,"MMSD-P8",39,48,38
2020-10-28,"MMSD-P11",77,75,34
2020-10-28,"MMSD-P18",57,70,34
2020-10-28,"MMSD-P2",62,76,39
2020-10-28,"MMSD-P7",36,27,9
2020-10-28,"MMSD-P8",21,30,23
2020-10-29,"MMSD-P11",72,85,78
2020-10-29,"MMSD-P18",68,76,83
2020-10-29,"MMSD-P2",34,54,48
2020-10-29,"MMSD-P7",36,43,37
2020-10-29,"MMSD-P8",47,46,42
2020-10-30,"MMSD-P11",71,72,45
2020-10-30,"MMSD-P18",68,69,40
2020-10-30,"MMSD-P2",58,61,50
2020-10-30,"MMSD-P7",33,31,20
2020-10-30,"MMSD-P8",28,27,29
2020-10-31,"MMSD-P11",59,52,37
2020-10-31,"MMSD-P18",52,50,38
2020-10-31,"MMSD-P2",37,29,27
2020-10-31,"MMSD-P7",29,24,10
2020-10-31,"MMSD-P8",38,37,10
2020-11-01,"MMSD-P11",61,14,44
2020-11-01,"MMSD-P18",32,15,35
2020-11-01,"MMSD-P2",32,9,22
2020-11-01,"MMSD-P7",20,3,15
2020-11-01,"MMSD-P8",27,10,18
2020-11-02,"MMSD-P11",79,64,108
2020-11-02,"MMSD-P18",82,66,106
2020-11-02,"MMSD-P2",73,54,74
2020-11-02,"MMSD-P7",37,36,63
