"Date","Site","FirstConfirmed"
2022-01-11,"Black River Falls WWTF",3
2022-01-11,"Burlington WPCC",23
2022-01-11,"Cedarburg WWTF",20
2022-01-11,"Chippewa Falls WWTF",45
2022-01-11,"Clintonville Wastewater Utility",10
2022-01-11,"Columbus WWTF",21
2022-01-11,"De Pere WWTF",90
2022-01-11,"Eau Claire WWTF",145
2022-01-11,"Fox River WPCC",15
2022-01-11,"Grafton Water & Wastewater Utility",14
2022-01-11,"Green Bay MSD",262
2022-01-11,"Hartford WPCF",11
2022-01-11,"Hayward WPCF",3
2022-01-11,"Heart of the Valley MSD",169
2022-01-11,"Hudson WWTF",27
2022-01-11,"Janesville WW Utility",164
2022-01-11,"Kenosha WWTF",149
2022-01-11,"La Crosse WWTP",141
2022-01-11,"Lac du Flambeau Tribal Water & Sewer",1
2022-01-11,"Lake Geneva WWTP",6
2022-01-11,"Lodi WWTF",5
2022-01-11,"Madison MSD WWTF",433
2022-01-11,"Manitowoc WWTF",113
2022-01-11,"Marinette Wastewater Utility",20
2022-01-11,"Marshfield WWTF",60
2022-01-11,"Mauston WWTF",2
2022-01-11,"Menomonie WWTF",21
2022-01-11,"Merrill WWTP",14
2022-01-11,"Milwaukee MSD Jones Island",458
2022-01-11,"Milwaukee MSD South Shore",1025
2022-01-11,"Monroe WWTF",21
2022-01-11,"New Richmond WWTF",24
2022-01-11,"Oconomowoc WWTP",25
2022-01-11,"Oshkosh WWTP",266
2022-01-11,"Peshtigo WWTF",8
2022-01-11,"Platteville WWTF",14
2022-01-11,"Plymouth Utilities WWTF",12
2022-01-11,"Port Washington WWTP",13
2022-01-11,"Portage WWTF",44
2022-01-11,"Racine Wastewater Utility",243
2022-01-11,"Rhinelander WWTP",18
2022-01-11,"Rib Lake WWTF",2
2022-01-11,"Rib Mountain MSD WWTF",130
2022-01-11,"River Falls Municipal Utility WWTF",25
2022-01-11,"Sheboygan WWTP",102
2022-01-11,"South Milwaukee WWTF",78
2022-01-11,"Sparta WWTF",21
2022-01-11,"Spencer WWTP",6
2022-01-11,"Spooner WWTP",1
2022-01-11,"Stevens Point WWTF",41
2022-01-11,"Sturgeon Bay Utilities WWTF",16
2022-01-11,"Sun Prairie WWTF",51
2022-01-11,"Superior WWTP",36
2022-01-11,"Viroqua WWTF",6
2022-01-11,"Washburn WWTP",1
2022-01-11,"Watertown WWTP",35
2022-01-11,"Waukesha WWTP",52
2022-01-11,"Waupaca WWTF",22
2022-01-11,"Wausau Water Works WWTF",102
2022-01-11,"Whitewater WWTF",17
2022-01-11,"Wisconsin Rapids WWTF",34
2021-01-12,"Algoma WWTF",2
2021-01-12,"Appleton WWTF",25
2021-01-12,"Ashland Sewage Utility",2
2021-01-12,"Baraboo WWTF",1
2021-01-12,"Beloit WWTF",5
2021-01-12,"Black River Falls WWTF",1
2021-01-12,"Burlington WPCC",2
