"Site","Sample ID","Date","Filter","Well","N1Ct","N1","N1LOD","N2CT","N2","N2LOD","PMMOVCT","PMMOV","BCoV","HF183CT","HF183","CrPCT","CrP","Notes","...20"
"Merrill","Merrill rep 1",2021-01-25,"1","1","32.869999999999997","89781","N","32.1","111476","N","24.83","12111998","4.3600000000000003","27.45","354061938","29.36","145909610",NA,NA
"Merrill","Merrill rep 1",2021-01-25,"1","2","34.119999999999997","40181","N","32.53","84677","N","24.21","18975434","4","27.59","321278834","29.88","102653778",NA,NA
"Merrill","Merrill rep 1",2021-01-25,"1","3","32.68","100977","N","32.619999999999997","79641","N","24.8","12350663","4.5999999999999996","27.36","377684892","29.85","104787135",NA,NA
"Merrill","Merrill rep 2",2021-01-25,"2","1","32","156795","N","31.84","131836","N","24.37","16937703","5.34","27.18","425765706","28.82","210910158",NA,NA
"Merrill","Merrill rep 2",2021-01-25,"2","2","32.67","101691","N","32.35","94657","N","24.67","13636732","5.29","27.03","471358029","28.53","257021569",NA,NA
"Merrill","Merrill rep 2",2021-01-25,"2","3","33.200000000000003","72714","N","31.75","139014","N","24.03","21581704","5.31","27.18","426271810","28.73","224755054",NA,NA
"Merrill","Merrill rep 3",2021-01-25,"3","1","32.44","117929","N","31.61","152704","N","23.9","23762765","3.22","27.11","445600955","30.64","60983437",NA,NA
"Merrill","Merrill rep 3",2021-01-25,"3","2","32.590000000000003","106930","N","31.28","188545","N","24.21","18947952","3.29","27.35","378942658","29.39","143004592",NA,NA
"Merrill","Merrill rep 3",2021-01-25,"3","3","32.65","103341","N","32.04","115526","N","24.17","19611153","3.06","27.47","350092042","29.69","116383048",NA,NA
"Merrill","Merrill rep 1",2021-01-26,"1","1","32.340000000000003","126047","N","31.87","129379","N","24.86","11835831","3.77","26.86","527450902","29.52","130679362",NA,NA
"Merrill","Merrill rep 1",2021-01-26,"1","2","33.619999999999997","55241","N","32.159999999999997","107138","N","24.94","11157008","4.92","27.07","457907566","29.98","95799790",NA,NA
"Merrill","Merrill rep 1",2021-01-26,"1","3","32.46","116250","N","32.11","110837","N","25.1","9982883","4.17","27","480094826","30.07","90350883",NA,NA
"Merrill","Merrill rep 2",2021-01-26,"2","1","34.299999999999997","35870","Y","32.5","86331","N","25.2","9232943","3.53","27.05","464866950","29.4","142465660",NA,NA
"Merrill","Merrill rep 2",2021-01-26,"2","2","33.51","59587","N","31.77","137975","N","25.58","7042703","3.47","26.95","498081311","29.93","99181298",NA,NA
"Merrill","Merrill rep 2",2021-01-26,"2","3","33.159999999999997","74628","N","32.299999999999997","98163","N","25.47","7619717","3.42","26.92","506221413","29.84","105235415",NA,NA
"Merrill","Merrill rep 3",2021-01-26,"3","1","33.07","78755","N","31.64","149577","N","25.33","8440443","3.79","27.26","402330912","29.04","181790380",NA,NA
"Merrill","Merrill rep 3",2021-01-26,"3","2","32.630000000000003","104355","N","31.79","135800","N","25.17","9440686","4.2","27.32","387342527","29.54","129473588",NA,NA
"Merrill","Merrill rep 3",2021-01-26,"3","3","33.17","74025","N","31.59","154171","N","25.03","10495472","3.53","26.96","493038669","29.59","124782218",NA,NA
"Merrill","Merrill rep 1",2021-01-27,"1","1","32.799999999999997","93679","N","32.03","116287","N","24.89","11609629","3.56","26.71","584140998","29.18","165183059",NA,NA
"Merrill","Merrill rep 1",2021-01-27,"1","2","32.6","106604","N","32.47","87781","N","24.28","17997870","3.69","26.83","538052117","29.91","100269885",NA,NA
"Merrill","Merrill rep 1",2021-01-27,"1","3","32.590000000000003","107312","N","32.68","77116","N","24.2","19178802","3.01","26.77","562723828","30","94290902",NA,NA
"Merrill","Merrill rep 2",2021-01-27,"2","1","33.380000000000003","64528","N","31.93","124293","N","24.48","15669910","3.68","26.91","511068498","29.26","156164198",NA,NA
"Merrill","Merrill rep 2",2021-01-27,"2","2","32.83","92097","N","31.92","125230","N","24.23","18720802","4.1100000000000003","26.96","492110592","29.57","126616247",NA,NA
"Merrill","Merrill rep 2",2021-01-27,"2","3","34","43351","N","32.28","99168","N","24.33","17414555","3.55","26.95","498382392","29.59","125015429",NA,NA
"Merrill","Merrill rep 3",2021-01-27,"3","1","32.049999999999997","151995","N","30.77","260016","N","24.94","11149214","4.87","26.3","769718706","29.36","146556349","Updated on 1.14.22 by DA (after RR)",NA
"Merrill","Merrill rep 3",2021-01-27,"3","2","32.26","132264","N","30.71","271581","N","24.03","21661925","4.5","25.91",NA,"29.9","100974362","omitted 2nd rep (outlier)",NA
"Merrill","Merrill rep 3",2021-01-27,"3","3","31.9","166514","N","30.73","267240","N","23.73","26880441","3.99","26.76","567050923","30.02","93543873",NA,NA
"Plymouth","Plymouth (M) Rep 1",2021-01-25,"1","1","32.85","91059","N","33.450000000000003","46996","Y","25.83","3680520","0.24","27.29","393917100","30.53","65980556",NA,NA
"Plymouth","Plymouth (M) Rep 1",2021-01-25,"1","2","33.06","79088","N","33.67","40902","Y","25.89","3523048","0.26","27.36","377429518","30.08","89772099",NA,NA
"Plymouth","Plymouth (M) Rep 1",2021-01-25,"1","3","32.909999999999997","87487","N","34.24","28280","Y","25.76","3895114","0.3","26.9","514217106","29.91","100520966",NA,NA
"Plymouth","Plymouth (M) Rep 2",2021-01-25,"2","1","32.4","121184","N","34.130000000000003","30416","Y","25.9","3502159","0.38","27.24","409612418","30.87","52368924",NA,NA
"Plymouth","Plymouth (M) Rep 2",2021-01-25,"2","2","32.299999999999997","128927","N","34.450000000000003","24819","Y","25.94","3405053","0.46","26.63","616246940","29.7","115785249",NA,NA
"Plymouth","Plymouth (M) Rep 2",2021-01-25,"2","3","32.22","136395","N","34.159999999999997","29799","Y","26.1","3026506","0.43","27.85","269611581","30.03","92915107",NA,NA
"Plymouth","Plymouth (M) Rep 3",2021-01-25,"3","1","32.65","103214","N","33.75","38903","Y","25.74","3938276","0.86","27.26","402441925","30.09","89158858",NA,NA
"Plymouth","Plymouth (M) Rep 3",2021-01-25,"3","2","32.69","100416","N","33.450000000000003","46919","Y","25.56","4500732","0.99","26.58","636959577","30.47","68610258",NA,NA
"Plymouth","Plymouth (M) Rep 3",2021-01-25,"3","3","32.799999999999997","93871","N","33.74","38914","Y","25.57","4472696","1.04","27.7","300210384","29.49","133936494",NA,NA
"Plymouth","Plymouth (T) rep 1",2021-01-26,"1","1","32.700000000000003","99635","N","34.24","28397","Y","24.95","7055393","1.19","26.74","574813175","29.96","96883046",NA,NA
"Plymouth","Plymouth (T) rep 1",2021-01-26,"1","2","32.71","99180","N","34.24","28309","Y","24.94","7083178","1.34","26.29","779362466","28.95","192859713",NA,NA
"Plymouth","Plymouth (T) rep 1",2021-01-26,"1","3","33.049999999999997","80042","N","33.78","38101","Y","25.18","5933452","1.34","27.31","390075015","29.69","116550507",NA,NA
"Plymouth","Plymouth (T) rep 2",2021-01-26,"2","1","34.83","25451","Y","33.909999999999997","34958","Y","25.12","6190058","1.17","27.03","470604415","30.84","53350429",NA,NA
"Plymouth","Plymouth (T) rep 2",2021-01-26,"2","2","32.700000000000003","100125","N","33.19","55638","Y","24.96","6962862","1.27","26.51","669520570","28.35","290204213",NA,NA
"Plymouth","Plymouth (T) rep 2",2021-01-26,"2","3","32.35","125487","N","33.340000000000003","50451","Y","25.28","5510034","1.27","27.28","397421840","29.66","119581590",NA,NA
"Plymouth","Plymouth (T) rep 3",2021-01-26,"3","1","33.07","78898","N","33.880000000000003","35758","Y","25.08","6402396","0.84","27.05","465872199","31.02","47167337",NA,NA
"Plymouth","Plymouth (T) rep 3",2021-01-26,"3","2","34.090000000000003","40925","N","34.67","21511","Y","25.16","6038558","0.98","27.27","400571255","29.18","165381410",NA,NA
"Plymouth","Plymouth (T) rep 3",2021-01-26,"3","3","32.869999999999997","89521","N","34.549999999999997","23321","Y","25.47","4818992","0.8","27.38","370480740","29.95","98130018",NA,NA
"Plymouth","Plymouth (W) rep 1",2021-01-27,"1","1","31.57","206262","N","32.6","81172","N","25.49","4715505","1.6","26.62","622598800","30.14","85830999",NA,NA
"Plymouth","Plymouth (W) rep 1",2021-01-27,"1","2","31.56","208061","N","32.380000000000003","93393","N","25.59","4412960","1.64","26.65","608964321","28.98","189474100",NA,NA
"Plymouth","Plymouth (W) rep 1",2021-01-27,"1","3","31.82","175767","N","32.6","80993","N","25.58","4431609","1.61","25.93","989570552","29.5","133161854",NA,NA
"Plymouth","Plymouth (W) rep 2",2021-01-27,"2","1","32.49","114083","N","32.4","91950","N","25.84","3661487","1.1100000000000001","26.11","880124289","30.78","55576543",NA,NA
"Plymouth","Plymouth (W) rep 2",2021-01-27,"2","2","31.75","183752","N","32.53","84824","N","25.77","3852081","1.21","26","944556127","29.22","160437602",NA,NA
"Plymouth","Plymouth (W) rep 2",2021-01-27,"2","3","32.24","134210","N","33.11","58307","Y","25.99","3283516","1.27","27.2","419965024","29.31","151746496",NA,NA
"Plymouth","Plymouth (W) rep 3",2021-01-27,"3","1","31.36","236130","N","33.53","44752","Y","25.62","4294369","2.23","26.59","635415790","29.68","117379338",NA,NA
"Plymouth","Plymouth (W) rep 3",2021-01-27,"3","2","31.99","157914","N","32.659999999999997","77679","N","25.63","4258816","2.17","26.96","494194091","29.19","164183679",NA,NA
"Plymouth","Plymouth (W) rep 3",2021-01-27,"3","3","32.43","119052","N","33.72","39442","Y","25.64","4230604","2.54","26.41","717387023","29.45","137288574",NA,NA
"River Falls","River Falls (M) rep 1",2021-01-25,"1","1","30.3","465713","N","30.57","296709","N","24.6","9120047","3.13","26.14","859960914","28.9","199619421",NA,NA
"River Falls","River Falls (M) rep 1",2021-01-25,"1","2","30.38","442167","N","31.24","193654","N","24.85","7561332","3.56","26.1","883194153","28.91","198069080",NA,NA
"River Falls","River Falls (M) rep 1",2021-01-25,"1","3","30.45","422672","N","30.8","255753","N","24.87","7462839","3.67","25.6","1237351289","28.93","195713796",NA,NA
"River Falls","River Falls (M) rep 2",2021-01-25,"2","1","30.68","364696","N","30.63","285040","N","24.24","11815165","2.8","26.05","911788890","30.24","80151334",NA,NA
"River Falls","River Falls (M) rep 2",2021-01-25,"2","2","30.13","520767","N","31.06","217030","N","24.07","13393990","2.82","26.11","877179266","28.76","220207315",NA,NA
"River Falls","River Falls (M) rep 2",2021-01-25,"2","3","30.3","466348","N","30.87","244061","N","23.98","14363649","3.11","25.59","1247707531","28.89","201169213",NA,NA
