"Date","Cases","Tests","Population","Site","Per_pos"
2020-10-11,47,62,130799,"MMSD-P11",75.8064516129032
2020-10-12,33,172,130799,"MMSD-P11",19.1860465116279
2020-10-13,24,248,130799,"MMSD-P11",9.67741935483871
2020-10-14,22,273,130799,"MMSD-P11",8.05860805860806
2020-10-15,40,373,130799,"MMSD-P11",10.7238605898123
2020-10-16,38,460,130799,"MMSD-P11",8.26086956521739
2020-10-17,0,0,130799,"MMSD-P11",NA
2020-10-18,36,2196,130799,"MMSD-P11",1.63934426229508
2020-10-19,1,1017,130799,"MMSD-P11",0.0983284169124877
2020-10-20,83,291,130799,"MMSD-P11",28.5223367697595
2020-10-21,56,150,130799,"MMSD-P11",37.3333333333333
2020-10-22,31,352,130799,"MMSD-P11",8.80681818181818
2020-10-23,43,357,130799,"MMSD-P11",12.0448179271709
2020-10-24,48,388,130799,"MMSD-P11",12.3711340206186
2020-10-25,65,337,130799,"MMSD-P11",19.2878338278932
2020-10-26,37,334,130799,"MMSD-P11",11.0778443113772
2020-10-27,78,390,130799,"MMSD-P11",20
2020-10-28,100,218,130799,"MMSD-P11",45.8715596330275
2020-10-29,55,219,130799,"MMSD-P11",25.1141552511416
2020-10-30,102,456,130799,"MMSD-P11",22.3684210526316
2020-10-31,91,486,130799,"MMSD-P11",18.7242798353909
2020-11-01,47,473,130799,"MMSD-P11",9.93657505285412
2020-11-02,57,278,130799,"MMSD-P11",20.5035971223022
2020-11-03,162,568,130799,"MMSD-P11",28.5211267605634
2020-11-04,53,307,130799,"MMSD-P11",17.2638436482085
2020-11-05,76,311,130799,"MMSD-P11",24.4372990353698
2020-11-06,121,406,130799,"MMSD-P11",29.8029556650246
2020-11-07,146,518,130799,"MMSD-P11",28.1853281853282
2020-11-08,65,275,130799,"MMSD-P11",23.6363636363636
2020-11-09,73,322,130799,"MMSD-P11",22.6708074534161
2020-11-10,212,648,130799,"MMSD-P11",32.7160493827161
2020-11-11,141,489,130799,"MMSD-P11",28.8343558282209
2020-11-12,158,381,130799,"MMSD-P11",41.4698162729659
2020-11-13,107,322,130799,"MMSD-P11",33.2298136645963
2020-11-14,70,651,130799,"MMSD-P11",10.752688172043
2020-11-15,115,499,130799,"MMSD-P11",23.0460921843687
2020-11-16,162,283,130799,"MMSD-P11",57.243816254417
2020-11-17,195,635,130799,"MMSD-P11",30.7086614173228
2020-11-18,135,541,130799,"MMSD-P11",24.9537892791128
2020-11-19,79,336,130799,"MMSD-P11",23.5119047619048
2020-11-20,157,648,130799,"MMSD-P11",24.2283950617284
2020-11-21,73,376,130799,"MMSD-P11",19.4148936170213
2020-11-22,54,450,130799,"MMSD-P11",12
2020-11-23,20,398,130799,"MMSD-P11",5.0251256281407
2020-11-24,235,609,130799,"MMSD-P11",38.5878489326765
2020-11-25,71,377,130799,"MMSD-P11",18.8328912466844
2020-11-26,109,415,130799,"MMSD-P11",26.2650602409639
2020-11-27,12,288,130799,"MMSD-P11",4.16666666666667
2020-11-28,133,237,130799,"MMSD-P11",56.1181434599156
2020-11-29,114,372,130799,"MMSD-P11",30.6451612903226
2020-11-30,78,303,130799,"MMSD-P11",25.7425742574257
2020-12-01,35,97,130799,"MMSD-P11",36.0824742268041
2020-12-02,57,148,130799,"MMSD-P11",38.5135135135135
2020-12-03,110,375,130799,"MMSD-P11",29.3333333333333
2020-12-04,80,315,130799,"MMSD-P11",25.3968253968254
2020-12-05,65,270,130799,"MMSD-P11",24.0740740740741
2020-12-06,33,309,130799,"MMSD-P11",10.6796116504854
2020-12-07,62,287,130799,"MMSD-P11",21.602787456446
2020-12-08,40,128,130799,"MMSD-P11",31.25
2020-12-09,51,192,130799,"MMSD-P11",26.5625
2020-12-10,82,358,130799,"MMSD-P11",22.9050279329609
2020-12-11,66,284,130799,"MMSD-P11",23.2394366197183
2020-12-12,77,386,130799,"MMSD-P11",19.9481865284974
2020-12-13,69,451,130799,"MMSD-P11",15.2993348115299
2020-12-14,62,216,130799,"MMSD-P11",28.7037037037037
2020-12-15,20,91,130799,"MMSD-P11",21.978021978022
2020-12-16,40,203,130799,"MMSD-P11",19.7044334975369
2020-12-17,91,353,130799,"MMSD-P11",25.7790368271955
2020-12-18,68,245,130799,"MMSD-P11",27.7551020408163
2020-12-19,49,340,130799,"MMSD-P11",14.4117647058824
2020-12-20,31,217,130799,"MMSD-P11",14.2857142857143
2020-12-21,36,296,130799,"MMSD-P11",12.1621621621622
2020-12-22,24,122,130799,"MMSD-P11",19.672131147541
2020-12-23,39,178,130799,"MMSD-P11",21.9101123595506
2020-12-24,56,351,130799,"MMSD-P11",15.954415954416
2020-12-25,43,359,130799,"MMSD-P11",11.9777158774373
2020-12-26,0,167,130799,"MMSD-P11",0
2020-12-27,43,118,130799,"MMSD-P11",36.4406779661017
2020-12-28,34,187,130799,"MMSD-P11",18.1818181818182
2020-12-29,22,102,130799,"MMSD-P11",21.5686274509804
2020-12-30,32,87,130799,"MMSD-P11",36.7816091954023
2020-12-31,69,263,130799,"MMSD-P11",26.2357414448669
