"","Date","Site","N1RankLeft","N1RankRight","N2RankLeft","N2RankRight"
"399",2021-06-01,"Madison",287,326,290,347
"400",2021-06-02,"Madison",65,162,46,76
"401",2021-06-03,"Madison",229,142,317,155
"402",2021-06-03,"MMSD-P2",50,104,100,100
"403",2021-06-03,"MMSD-P7",61,60,103,103
"404",2021-06-03,"MMSD-P8",97,97,99,99
"405",2021-06-03,"MMSD-P11",69,5,100,5
"406",2021-06-03,"MMSD-P18",58,48,40,50
"407",2021-06-04,"Madison",249,13,238,18
"408",2021-06-06,"Madison",378,378,375,375
"409",2021-06-07,"MMSD-P2",105,105,101,101
"410",2021-06-07,"MMSD-P7",42,104,104,104
"411",2021-06-07,"MMSD-P8",98,98,100,100
"412",2021-06-07,"MMSD-P11",96,93,90,90
"413",2021-06-07,"MMSD-P18",57,50,55,23
"414",2021-06-07,"Madison",13,4,18,5
"415",2021-06-08,"Madison",387,387,388,387
"416",2021-06-09,"Madison",4,331,6,349
"417",2021-06-10,"Madison",60,308,44,333
"418",2021-06-10,"MMSD-P2",106,92,102,84
"419",2021-06-10,"MMSD-P8",99,99,101,101
"420",2021-06-10,"MMSD-P7",105,105,105,105
"421",2021-06-10,"MMSD-P11",8,72,5,70
"422",2021-06-10,"MMSD-P18",55,68,82,86
"423",2021-06-11,"Madison",83,159,60,160
"424",2021-06-13,"Madison",232,113,233,142
"425",2021-06-14,"Madison",278,252,251,206
"426",2021-06-14,"MMSD-P2",11,60,12,56
"427",2021-06-14,"MMSD-P11",29,103,25,100
"428",2021-06-14,"MMSD-P7",106,91,106,84
"429",2021-06-14,"MMSD-P8",100,100,102,102
"430",2021-06-14,"MMSD-P18",37,42,19,46
"431",2021-06-15,"Madison",139,225,187,190
"432",2021-06-16,"Madison",166,227,203,250
"433",2021-06-17,"Madison",164,114,143,117
"434",2021-06-17,"MMSD-P2",43,106,40,102
"435",2021-06-17,"MMSD-P18",63,67,59,60
"436",2021-06-17,"MMSD-P11",104,104,101,101
"437",2021-06-17,"MMSD-P8",101,101,103,103
"438",2021-06-17,"MMSD-P7",11,54,13,50
"439",2021-06-18,"Madison",277,229,276,279
"440",2021-06-20,"Madison",162,121,114,157
"441",2021-06-21,"MMSD-P2",107,107,103,103
"442",2021-06-21,"MMSD-P7",48,49,47,41
"443",2021-06-21,"MMSD-P8",102,37,104,47
"444",2021-06-21,"MMSD-P11",105,39,102,102
"445",2021-06-21,"MMSD-P18",38,61,45,66
"446",2021-06-21,"Madison",270,267,236,231
"447",2021-06-22,"Madison",124,251,162,230
"448",2021-06-23,"Madison",140,166,163,150
"449",2021-06-24,"Madison",225,196,243,239
"450",2021-06-24,"MMSD-P2",108,50,104,51
"451",2021-06-24,"MMSD-P7",53,58,56,60
"452",2021-06-24,"MMSD-P8",59,102,51,57
