"","Date","Site","N1RankLeft","N1RankRight","N2RankLeft","N2RankRight","N1","N2","MaxN1Rank"
"285",2021-07-29,"MMSD-P7",20,34,15,30,119067,134405,-34
"286",2021-07-29,"MMSD-P8",9,8,13,17,229833,188581,-17
"287",2021-07-29,"MMSD-P11",51,35,57,69,58331,51614,-69
"288",2021-07-29,"MMSD-P18",56,43,38,33,94436,140785,-56
"289",2021-08-02,"MMSD-P2",83,67,75,31,131437,171312,-83
"290",2021-08-02,"MMSD-P7",72,56,76,44,98507,81426,-76
"291",2021-08-02,"MMSD-P8",99,77,90,50,69165,100159,-99
"292",2021-08-02,"MMSD-P11",70,58,36,42,35873,72330,-70
"293",2021-08-02,"MMSD-P18",62,48,72,49,61784,61507,-72
"294",2021-08-05,"MMSD-P8",30,82,57,59,109143,99190,-82
"295",2021-08-05,"MMSD-P7",50,73,62,79,101092,74736,-79
"296",2021-08-05,"MMSD-P2",41,51,77,82,153028,123671,-82
"297",2021-08-05,"MMSD-P18",57,87,56,86,59461,70168,-87
"298",2021-08-05,"MMSD-P11",47,80,63,74,42797,58522,-80
"299",2021-08-09,"MMSD-P2",57,60,26,23,150843,213641,-60
"300",2021-08-09,"MMSD-P7",33,27,27,28,140813,142025,-33
"301",2021-08-09,"MMSD-P8",25,30,48,69,160126,104446,-69
"302",2021-08-09,"MMSD-P11",25,47,31,41,120729,106313,-47
"303",2021-08-09,"MMSD-P18",18,39,19,44,236275,220802,-44
"304",2021-08-12,"MMSD-P2",48,27,85,49,160187,129263,-85
"305",2021-08-12,"MMSD-P7",79,96,78,92,99234,86813,-96
"306",2021-08-12,"MMSD-P8",77,75,38,71,131292,114183,-77
"307",2021-08-12,"MMSD-P11",58,36,64,51,120280,85580,-64
"308",2021-08-12,"MMSD-P18",66,66,61,36,160773,205604,-66
"309",2021-08-16,"MMSD-P2",81,40,59,32,107352,125771,-81
"310",2021-08-16,"MMSD-P7",10,15,14,25,331327,235979,-25
"311",2021-08-16,"MMSD-P8",32,23,36,21,162214,128951,-36
"312",2021-08-16,"MMSD-P11",69,27,54,26,99710,81994,-69
"313",2021-08-16,"MMSD-P18",39,26,69,37,218194,151239,-69
"314",2021-08-19,"MMSD-P2",68,99,76,96,90550,80262,-99
"315",2021-08-19,"MMSD-P7",91,57,81,24,170462,167627,-91
"316",2021-08-19,"MMSD-P8",84,85,86,72,95696,71785,-86
"317",2021-08-19,"MMSD-P11",78,83,79,80,38980,30963,-83
"318",2021-08-19,"MMSD-P18",79,60,68,73,95613,106556,-79
"319",2021-08-23,"MMSD-P2",9,22,12,25,366455,332122,-25
"320",2021-08-23,"MMSD-P7",49,92,82,87,173577,95084,-92
"321",2021-08-23,"MMSD-P8",22,43,35,87,152635,90379,-87
"322",2021-08-23,"MMSD-P11",22,94,25,93,141556,110186,-94
"323",2021-08-23,"MMSD-P18",45,34,32,26,139118,193304,-45
"324",2021-08-26,"MMSD-P2",86,23,83,36,273936,250986,-86
"325",2021-08-26,"MMSD-P7",14,13,19,70,359455,182838,-70
"326",2021-08-26,"MMSD-P8",64,21,20,19,145199,162256,-64
"327",2021-08-26,"MMSD-P11",11,31,12,29,359031,264249,-31
"328",2021-08-26,"MMSD-P18",71,75,79,72,42180,35173,-79
"329",2021-08-30,"MMSD-P2",85,35,72,38,194907,215387,-85
"330",2021-08-30,"MMSD-P7",93,29,36,22,170215,215924,-93
"331",2021-08-30,"MMSD-P8",86,87,88,86,68780,95017,-88
"332",2021-08-30,"MMSD-P11",74,14,76,21,311116,219444,-76
"333",2021-08-30,"MMSD-P18",30,71,33,69,130515,121501,-71
"334",2021-09-02,"MMSD-P2",73,74,70,65,164940,183175,-74
"335",2021-09-02,"MMSD-P7",77,72,84,53,135947,130704,-84
"336",2021-09-02,"MMSD-P8",20,95,21,91,136673,152819,-95
"337",2021-09-02,"MMSD-P11",91,90,84,76,115710,147884,-91
"338",2021-09-02,"MMSD-P18",34,53,36,50,205170,202696,-53
"339",2021-09-06,"MMSD-P2",34,88,43,87,213037,206867,-88
"340",2021-09-06,"MMSD-P7",34,43,53,36,163442,130911,-53
"341",2021-09-06,"MMSD-P8",12,7,16,12,313893,269695,-16
"342",2021-09-06,"MMSD-P11",15,86,29,87,265565,201648,-87
"343",2021-09-06,"MMSD-P18",52,65,55,47,211195,213084,-65
"344",2021-09-09,"MMSD-P2",20,9,21,15,326679,329616,-21
"345",2021-09-09,"MMSD-P7",63,100,70,99,155180,100250,-100
"346",2021-09-09,"MMSD-P8",100,88,95,40,108466,145928,-100
"347",2021-09-09,"MMSD-P11",19,13,18,11,379248,316124,-19
"348",2021-09-09,"MMSD-P18",40,46,58,74,266621,214073,-74
"349",2021-09-13,"MMSD-P2",99,97,93,91,125414,138429,-99
