"","Date", "Site", "N1RankLeft", "N1RankRight", "N2RankLeft", "N2RankRight", "N1", "N2", "MaxN1Rank"
"165",2021-05-06,"MMSD-P7",308,335,254,333,25735,15120,-335
"166",2021-05-06,"MMSD-P8",196,218,198,197,51840,46173,-218
"167",2021-05-06,"MMSD-P11",313,465,334,462,37231,20224,-465
"168",2021-05-06,"MMSD-P18",66,68,69,78,238017,193358,-78
"169",2021-05-10,"MMSD-P2",463,392,453,390,47752,31982,-463
"170",2021-05-10,"MMSD-P7",139,125,141,142,118893,99681,-142
"171",2021-05-10,"MMSD-P8",406,441,389,435,32158,25453,-441
"172",2021-05-10,"MMSD-P11",90,270,96,342,170237,150858,-342
"173",2021-05-10,"MMSD-P18",261,430,189,423,170739,184812,-430
"174",2021-05-13,"MMSD-P18",101,42,108,51,297646,283661,-108
"175",2021-05-13,"MMSD-P11",489,250,480,251,8923,12058,-489
"176",2021-05-13,"MMSD-P8",281,371,280,337,4831,10244,-371
"177",2021-05-13,"MMSD-P7",160,181,194,211,54837,42725,-211
"178",2021-05-13,"MMSD-P2",350,377,320,388,19951,23148,-388
"179",2021-05-17,"MMSD-P18",154,143,143,141,75768,90100,-154
"180",2021-05-17,"MMSD-P11",388,264,390,238,10363,15283,-390
"181",2021-05-17,"MMSD-P8",267,359,293,253,9403,9036,-359
"182",2021-05-17,"MMSD-P7",172,325,278,405,51354,7673,-405
"183",2021-05-17,"MMSD-P2",206,511,126,512,73534,86514,-512
"184",2021-05-20,"MMSD-P2",20,22,19,17,608010,676281,-22
"185",2021-05-20,"MMSD-P7",509,169,514,175,56388,58965,-514
"186",2021-05-20,"MMSD-P8",362,246,356,298,15247,17264,-362
"187",2021-05-20,"MMSD-P11",285,527,233,526,9997,29627,-527
"188",2021-05-20,"MMSD-P18",4,4,5,4,1945496,2297335,-5
"189",2021-05-24,"MMSD-P2",527,230,527,260,16713,0,-527
"190",2021-05-24,"MMSD-P7",301,304,271,322,5698,0,-322
"191",2021-05-24,"MMSD-P8",227,244,209,245,18813,24820,-245
"192",2021-05-24,"MMSD-P11",287,431,286,458,12358,21960,-458
"193",2021-05-24,"MMSD-P18",100,509,73,506,139794,183089,-509
"194",2021-05-27,"MMSD-P18",22,15,25,15,637101,676035,-25
"195",2021-05-27,"MMSD-P11",516,313,516,313,0,0,-516
"196",2021-05-27,"MMSD-P8",218,245,218,255,16073,19820,-255
"197",2021-05-27,"MMSD-P7",286,252,276,230,10666,18931,-286
"198",2021-05-27,"MMSD-P2",279,286,301,278,7049,10345,-301
"199",2021-05-31,"MMSD-P2",245,249,253,218,13114,15239,-253
"200",2021-05-31,"MMSD-P7",282,370,313,361,8117,0,-370
"201",2021-05-31,"MMSD-P8",161,156,170,170,58037,46865,-170
"202",2021-05-31,"MMSD-P11",375,425,361,460,3972,0,-460
"203",2021-05-31,"MMSD-P18",106,105,71,74,120744,168461,-106
"204",2021-06-03,"MMSD-P2",426,288,457,260,10940,0,-457
"205",2021-06-03,"MMSD-P7",243,211,271,260,18118,0,-271
"206",2021-06-03,"MMSD-P8",320,364,271,307,0,0,-364
"207",2021-06-03,"MMSD-P11",167,419,224,434,46406,16060,-434
"208",2021-06-03,"MMSD-P18",112,86,97,90,155967,140974,-112
"209",2021-06-07,"MMSD-P2",445,300,441,305,0,0,-445
"210",2021-06-07,"MMSD-P7",231,311,226,279,11044,14791,-311
"211",2021-06-07,"MMSD-P8",220,504,252,511,26005,20151,-511
